feature,importance
Humidity3pm,0.26057705
Rainfall,0.12660648
RainToday,0.079719394
Sunshine,0.07724996
WindGustSpeed,0.0702521
Cloud3pm,0.049770597
Pressure3pm,0.041913994
Pressure9am,0.027316324
Humidity9am,0.025644902
WindDir3pm,0.024351368
Temp3pm,0.021786612
Location,0.02104045
WindDir9am,0.02080099
Temp9am,0.018078832
WindGustDir,0.01807368
MinTemp,0.016153915
WindSpeed3pm,0.016090075
Month,0.016010005
MaxTemp,0.016003283
WindSpeed9am,0.013025044
Cloud9am,0.011340615
Evaporation,0.010619152
Year,0.009487126
Day,0.008088099
